
Source                                    CommandType Synopsis
WebAdministration                            Function Add-WebConfiguration [-Filter] <string[]> [[-PSPath] <string[]>] [-Value <psobject>] [-Clr <string>] [-AtElement <hashtable>] [-AtIndex <int>] [-AtName <string>] [-Force] [-Location <string[]>…
WebAdministration                            Function Add-WebConfigurationLock [-Filter] <string[]> [[-PSPath] <string[]>] -Type <string> [-Force] [-Passthru] [-Location <string[]>] [-WhatIf] [-Confirm] [<CommonParameters>]
WebAdministration                            Function Add-WebConfigurationProperty [-Filter] <string[]> [[-PSPath] <string[]>] -Name <string> [-Type <string>] [-Value <psobject>] [-Clr <string>] [-AtElement <hashtable>] [-AtIndex <int>] [-AtName …
Pester                                       Function Defines a series of steps to perform at the end of every It block withinthe current Context or Describe block.
Pester                                       Function Defines a series of steps to perform at the end of every It block withinthe current Context or Describe block.
Pester                                       Function Checks if a Mocked command has been called a certain number of timesand throws an exception if it has not.
Pester                                       Function Checks if any Verifiable Mock has not been invoked. If so, this will throw an exception.
BitLocker                                    Function Backup-BitLockerKeyProtector [-MountPoint] <string[]> [-KeyProtectorId] <string> [-WhatIf] [-Confirm] [<CommonParameters>]
WebAdministration                            Function Backup-WebConfiguration [-Name] <string> [<CommonParameters>]
BitLocker                                    Function BackupToAAD-BitLockerKeyProtector [-MountPoint] <string[]> [-KeyProtectorId] <string> [-WhatIf] [-Confirm] [<CommonParameters>]
Pester                                       Function Defines a series of steps to perform at the beginning of the current Contextor Describe block.
Pester                                       Function Defines a series of steps to perform at the beginning of every It block withinthe current Context or Describe block.
Storage                                      Function Block-FileShareAccess -Name <string[]> -AccountName <string[]> [-FileServer <CimInstance#MSFT_FileServer>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-…
SmbShare                                     Function Block-SmbShareAccess [-Name] <string[]> [[-ScopeName] <string[]>] [-SmbInstance <SmbInstance>] [-AccountName <string[]>] [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] […
AssignedAccess                               Function Clear-AssignedAccess [-WhatIf] [-Confirm] [<CommonParameters>]
BranchCache                                  Function Clear-BCCache [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
BitLocker                                    Function Clear-BitLockerAutoUnlock [<CommonParameters>]
Storage                                      Function Clear-Disk [-Number] <uint[]> [-RemoveData] [-RemoveOEM] [-Sanitize] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Clear-Dis…
DnsClient                                    Function Clear-DnsClientCache [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
Storage                                      Function Clear-FileStorageTier -FilePath <string> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
PowerShellEditorServices.Commands            Function Clear-Host 
MSMQ                                         Function Clear-MsmqOutgoingQueue -InputObject <OutgoingQueue[]> [-WhatIf] [-Confirm] [<CommonParameters>]
MSMQ                                         Function Clear-MsmqQueue -InputObject <MessageQueue[]> [-WhatIf] [-Confirm] [<CommonParameters>]
PcsvDevice                                   Function Clear-PcsvDeviceLog [-TimeoutSec <uint>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Clear-PcsvDeviceLog [-TargetAddress] …
StorageBusCache                              Function Clear-StorageBusDisk -Guid <string> [<CommonParameters>]Clear-StorageBusDisk -Number <uint16> [<CommonParameters>]Clear-StorageBusDisk -PhysicalDisk <CimInstance#MSFT_PhysicalDisk> [<CommonPar…
Storage                                      Function Clear-StorageDiagnosticInfo [-StorageSubSystemFriendlyName] <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Clear-StorageDiagnosticInfo …
WebAdministration                            Function Clear-WebCentralCertProvider [-PrivateKeyPassword] [<CommonParameters>]
WebAdministration                            Function Clear-WebConfiguration [-Filter] <string[]> [[-PSPath] <string[]>] [-Clr <string>] [-Force] [-Location <string[]>] [-WhatIf] [-Confirm] [<CommonParameters>]
WebAdministration                            Function Clear-WebRequestTracingSetting [[-Name] <string>] [-WhatIf] [-Confirm] [<CommonParameters>]
WebAdministration                            Function Clear-WebRequestTracingSettings [[-Name] <string>] [-WhatIf] [-Confirm] [<CommonParameters>]
SmbShare                                     Function Close-SmbOpenFile [[-FileId] <ulong[]>] [-SessionId <ulong[]>] [-ClientComputerName <string[]>] [-ClientUserName <string[]>] [-ScopeName <string[]>] [-ClusterNodeName <string[]>] [-SmbInstance…
SmbShare                                     Function Close-SmbSession [[-SessionId] <ulong[]>] [-ClientComputerName <string[]>] [-ClientUserName <string[]>] [-ScopeName <string[]>] [-ClusterNodeName <string[]>] [-SmbInstance <SmbInstance>] [-For…
MsDtc                                        Function Complete-DtcDiagnosticTransaction [-Transaction] <DtcDiagnosticTransaction> [<CommonParameters>]
Microsoft.PowerShell.Archive                 Function Compress-Archive [-Path] <string[]> [-DestinationPath] <string> [-CompressionLevel <string>] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Compress-Archive [-Path] <string[]> [-Destinat…
PSDesiredStateConfiguration                  Function Configuration [[-ResourceModuleTuplesToImport] <List[Tuple[string[],ModuleSpecification[],version]]>] [[-OutputPath] <Object>] [[-Name] <Object>] [[-Body] <scriptblock>] [[-ArgsToBody] <hashta…
iSCSI                                        Function Connect-IscsiTarget -NodeAddress <string> [-TargetPortalAddress <string>] [-TargetPortalPortNumber <uint16>] [-InitiatorPortalAddress <string>] [-IsDataDigest <bool>] [-IsHeaderDigest <bool>] …
Storage                                      Function Connect-VirtualDisk [-FriendlyName] <string[]> [-StorageNodeName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Connect-VirtualDisk -Uni…
Pester                                       Function Provides logical grouping of It blocks within a single Describe block. Any Mocks definedinside a Context are removed at the end of the Context scope, as are any files or foldersadded to the Te…
ConfigCI                                     Function ConvertFrom-CIPolicy [-XmlFilePath] <string> [-BinaryFilePath] <string> [<CommonParameters>]
PowerShellEditorServices.Commands            Function Converts IScriptExtent objects to some common EditorServices types.
